,Title,Star Rating,Price
456,Drive: The Surprising Truth About What Motivates Us,Four,34.95
457,Done Rubbed Out (Reightman & Bailey #1),Five,37.72
458,Doing It Over (Most Likely To #1),Three,35.61
459,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Three,42.16
460,Dark Notes,Five,19.19
461,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Three,19.43
462,Close to You,Four,49.46
463,Chasing Heaven: What Dying Taught Me About Living,Two,37.8
464,Big Magic: Creative Living Beyond Fear,Three,30.8
465,Becoming Wise: An Inquiry into the Mystery and Art of Living,Two,27.43
466,Beauty Restored (Riley Family Legacy Novellas #3),Two,11.11
467,Batman: The Long Halloween (Batman),Two,36.5
468,Batman: The Dark Knight Returns (Batman),Five,15.38
469,Ayumi's Violin,Two,15.48
470,Anonymous,Four,46.82
471,Amy Meets the Saints and Sages,Three,18.46
472,Amid the Chaos,One,36.58
473,Amatus,Five,50.54
474,Agnostic: A Spirited Manifesto,Five,12.51
475,Zealot: The Life and Times of Jesus of Nazareth,Three,24.7
476,You (You #1),Five,43.61
477,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Four,37.34
478,Wild Swans,Two,14.36
479,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Four,52.65
480,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Four,38.2
481,What's It Like in Space?: Stories from Astronauts Who've Been There,Two,19.6
482,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",One,53.9
483,Walt Disney's Alice in Wonderland,Five,12.96
484,V for Vendetta (V for Vendetta Complete),Four,37.1
485,Until Friday Night (The Field Party #1),Two,46.31
486,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Two,45.95
487,Twenty Yawns,Two,22.08
488,Through the Woods,Two,25.38
489,This Is Where It Ends,Two,27.12
490,The Year of Magical Thinking,Two,43.04
491,The Wright Brothers,Four,56.8
492,The White Queen (The Cousins' War #1),Five,25.91
493,The Wedding Pact (The O'Malleys #2),Three,32.61
494,The Time Keeper,Five,27.88
495,The Testament of Mary,Four,52.67
496,The Star-Touched Queen,Five,46.02
497,The Songs of the Gods,Five,44.48
498,The Song of Achilles,Five,37.4
499,The Rosie Project (Don Tillman #1),One,54.04
500,The Power of Habit: Why We Do What We Do in Life and Business,Three,16.88
501,The Marriage of Opposites,Four,28.08
502,The Lucifer Effect: Understanding How Good People Turn Evil,One,10.4
503,The Long Haul (Diary of a Wimpy Kid #9),One,44.07
504,The Loney,One,23.4
505,The Literature Book (Big Ideas Simply Explained),Three,17.43
506,The Last Mile (Amos Decker #2),Two,54.21
507,The Immortal Life of Henrietta Lacks,Two,40.67
508,The Hidden Oracle (The Trials of Apollo #1),Two,52.26
509,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Three,28.77
510,The Guilty (Will Robie #4),Two,13.82
511,The First Hostage (J.B. Collins #2),Three,25.85
512,The Dovekeepers,One,48.78
513,The Darkest Lie,Five,35.35
514,The Bane Chronicles (The Bane Chronicles #1-11),Four,44.73
515,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,One,15.77
516,The 14th Colony (Cotton Malone #11),One,39.24
517,That Darkness (Gardiner and Renner #1),One,13.92
518,Tastes Like Fear (DI Marnie Rome #3),One,10.69
519,Take Me with You,Three,45.21
520,Swell: A Year of Waves,One,45.58
521,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Five,11.89
522,Still Life with Bread Crumbs,Three,26.41
523,Steve Jobs,Five,39.5
524,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Four,44.74
525,Someone Like You (The Harrisons #2),Five,52.79
526,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Four,35.43
527,Shtum,Four,55.84
528,See America: A Celebration of Our National Parks & Treasured Sites,Three,48.87
529,salt.,Four,46.78
530,Robin War,Three,47.82
531,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Two,25.48
532,Rain Fish,Three,23.57
533,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Five,50.89
534,Pet Sematary,Three,10.56
535,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Three,52.15
536,Once Was a Time,Two,18.28
537,Old School (Diary of a Wimpy Kid #10),Five,11.83
538,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Two,21.95
539,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Two,38.39
540,My Name Is Lucy Barton,One,41.56
541,My Mrs. Brown,Three,24.48
542,My Kind of Crazy,One,40.36
543,Mr. Mercedes (Bill Hodges Trilogy #1),One,28.9
544,More Than Music (Chasing the Dream #1),Two,37.61
545,Made to Stick: Why Some Ideas Survive and Others Die,Five,38.85
546,Luis Paints the World,Three,53.95
547,Luckiest Girl Alive,Three,49.83
548,Lowriders to the Center of the Earth (Lowriders in Space #2),Two,51.51
549,Love Is a Mix Tape (Music #1),One,18.03
550,Looking for Lovely: Collecting the Moments that Matter,Five,29.14
551,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Four,46.91
552,Let It Out: A Journey Through Journaling,Five,26.79
553,Lady Midnight (The Dark Artifices #1),Five,16.28
554,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",One,19.55
555,Island of Dragons (Unwanteds #7),One,29.65
556,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Four,25.98
557,I Am Pilgrim (Pilgrim #1),Four,10.6
558,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Five,14.75
559,"Hush, Hush (Hush, Hush #1)",Three,47.02
560,Hold Your Breath (Search and Rescue #1),One,28.82
561,Hamilton: The Revolution,Three,58.79
562,Greek Mythic History,Five,10.23
563,God: The Most Unpleasant Character in All Fiction,Five,30.03
564,Glory over Everything: Beyond The Kitchen House,Three,45.84
565,Feathers: Displays of Brilliant Plumage,Three,49.05
566,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Four,15.06
567,Every Last Word,Three,46.47
568,Eligible (The Austen Project #4),Three,27.09
569,El Deafo,Five,57.62
570,Eight Hundred Grapes,Four,14.39
571,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Five,51.75
572,"Eat Fat, Get Thin",Two,54.07
573,Don't Get Caught,One,55.35
574,Doctor Sleep (The Shining #2),Two,40.12
575,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Five,37.51
576,Dear Mr. Knightley,Five,11.21
577,Daily Fantasy Sports,One,36.58
578,Crazy Love: Overwhelmed by a Relentless God,Two,47.72
579,Cometh the Hour (The Clifton Chronicles #6),Three,25.01
580,Code Name Verity (Code Name Verity #1),Four,22.13
581,Clockwork Angel (The Infernal Devices #1),One,44.14
582,City of Glass (The Mortal Instruments #3),Four,56.02
583,City of Fallen Angels (The Mortal Instruments #4),Four,11.23
584,City of Bones (The Mortal Instruments #1),One,43.28
585,City of Ashes (The Mortal Instruments #2),One,47.27
586,Cell,Four,20.29
587,Catching Jordan (Hundred Oaks),Three,50.83
588,"Carry On, Warrior: Thoughts on Life Unarmed",Three,31.85
589,Carrie,Two,46.23
590,Buying In: The Secret Dialogue Between What We Buy and Who We Are,Four,37.8
591,Brain on Fire: My Month of Madness,Five,49.32
592,Batman: Europa,Two,32.01
593,Barefoot Contessa Back to Basics,One,28.01
594,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Five,50.62
595,Balloon Animals,Three,17.03
596,Art Ops Vol. 1,Three,48.8
597,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Four,58.14
598,Angels Walking (Angels Walking #1),Two,34.2
599,Angels & Demons (Robert Langdon #1),Three,51.48
600,All the Light We Cannot See,Five,29.87
601,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Two,10.9
602,Abstract City,Five,56.37
603,A Time of Torment (Charlie Parker #14),Five,48.35
604,A Study in Scarlet (Sherlock Holmes #1),Two,16.73
605,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Two,56.48
606,A People's History of the United States,Two,40.79
607,A Man Called Ove,One,39.72
608,A Distant Mirror: The Calamitous 14th Century,Three,14.58
609,A Brush of Wings (Angels Walking #3),One,55.51
610,1491: New Revelations of the Americas Before Columbus,Three,21.8
611,"The Three Searches, Meaning, and the Story",Three,13.33
612,Searching for Meaning in Gailana,One,38.73
613,Rook,Four,37.86
614,My Kitchen Year: 136 Recipes That Saved My Life,Two,11.53
615,13 Hours: The Inside Account of What Really Happened In Benghazi,One,27.06
616,Will You Won't You Want Me?,Three,13.86
617,Tipping Point for Planet Earth: How Close Are We to the Edge?,One,37.55
618,The Star-Touched Queen,Five,32.3
619,The Silent Sister (Riley MacPherson #1),Five,46.29
620,The Midnight Watch: A Novel of the Titanic and the Californian,One,26.2
621,The Lonely City: Adventures in the Art of Being Alone,Two,33.26
622,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Four,59.15
623,The Golden Condom: And Other Essays on Love Lost and Found,One,39.43
624,The Epidemic (The Program 0.6),Five,14.44
625,The Dinner Party,Two,56.54
626,The Diary of a Young Girl,Three,59.9
627,The Children,Three,11.88
628,Stars Above (The Lunar Chronicles #4.5),Two,48.05
629,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Three,21.21
630,Raspberry Pi Electronics Projects for the Evil Genius,Four,49.67
631,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,One,43.14
632,Psycho: Sanitarium (Psycho #1.5),Five,36.97
633,Poisonous (Max Revere Novels #3),Three,26.8
634,One with You (Crossfire #5),Four,15.71
635,No Love Allowed (Dodge Cove #1),Four,54.65
636,Murder at the 42nd Street Library (Raymond Ambler #1),Four,54.36
637,Most Wanted,Three,35.28
638,"Love, Lies and Spies",Two,20.55
639,How to Speak Golf: An Illustrated Guide to Links Lingo,Five,58.32
640,Hide Away (Eve Duncan #20),One,11.84
641,Furiously Happy: A Funny Book About Horrible Things,Four,41.46
642,Everyday Italian: 125 Simple and Delicious Recipes,Five,20.1
643,Equal Is Unfair: America's Misguided Fight Against Income Inequality,One,56.86
644,Eleanor & Park,Five,56.51
645,Dirty (Dive Bar #1),Four,40.83
646,Can You Keep a Secret? (Fear Street Relaunch #4),One,48.64
647,Boar Island (Anna Pigeon #19),Three,59.48
648,A Paris Apartment,Four,39.01
649,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",One,38.77
650,Troublemaker: Surviving Hollywood and Scientology,Two,48.39
651,The Widow,Two,27.26
652,"The Sleep Revolution: Transforming Your Life, One Night at a Time",Four,11.68
653,The Improbability of Love,One,59.45
654,The Art of Startup Fundraising,Three,21.0
655,Take Me Home Tonight (Rock Star Romance #3),Three,53.98
656,Sleeping Giants (Themis Files #1),One,48.74
657,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Two,21.15
658,Playing with Fire,Three,13.71
659,Off the Hook (Fishing for Trouble #1),Three,47.67
660,Mothering Sunday,Two,13.34
661,"Mother, Can You Not?",Five,16.89
662,M Train,One,27.18
663,Lilac Girls,Two,17.28
664,Lies and Other Acts of Love,One,45.14
665,Lab Girl,One,40.85
666,Keep Me Posted,Four,20.46
667,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Three,56.27
668,Grey (Fifty Shades #4),Four,48.49
669,"Exit, Pursued by a Bear",Four,51.34
670,Daredevils,Three,16.34
671,Cravings: Recipes for What You Want to Eat,Three,20.5
672,Born for This: How to Find the Work You Were Meant to Do,Five,21.59
673,Arena,Four,21.36
674,Adultery,Five,20.88
675,A Mother's Reckoning: Living in the Aftermath of Tragedy,Three,19.53
676,A Gentleman's Position (Society of Gentlemen #3),Five,14.75
677,11/22/63,Three,48.48
678,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Two,24.57
679,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Five,49.71
680,Without Shame,Five,48.27
681,Watchmen,Four,58.05
682,Unlimited Intuition Now,Four,58.87
683,Underlying Notes,Two,11.82
684,The Shack,One,28.03
685,The New Brand You: Your New Image Makes the Sale for You,Five,44.05
686,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Four,12.34
687,The Flowers Lied,Two,16.68
688,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",One,55.91
689,The Book of Mormon,Three,24.57
690,The Art and Science of Low Carbohydrate Living,Five,52.98
691,The Alien Club,One,54.4
692,Suzie Snowflake: One beautiful flake (a self-esteem story),Five,54.81
693,Nap-a-Roo,One,25.08
694,"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",Four,10.41
695,Modern Day Fables,Two,47.44
696,If I Gave You God's Phone Number....: Searching for Spirituality in America,One,20.91
697,"Fruits Basket, Vol. 9 (Fruits Basket #9)",Four,33.95
698,Dress Your Family in Corduroy and Denim,Three,43.68
699,Don't Forget Steven,One,33.23
700,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Two,35.92
701,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Four,48.63
702,A Shard of Ice (The Black Symphony Saga #1),Three,56.63
703,A Hero's Curse (The Unseen Chronicles #1),Three,50.49
704,23 Degrees South: A Tropical Tale of Changing Whether...,Two,35.79
705,"Zero to One: Notes on Startups, or How to Build the Future",Three,34.06
706,Why Not Me?,One,17.76
707,When Breath Becomes Air,Two,39.36
708,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Two,36.94
709,The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),Five,43.62
710,The New Drawing on the Right Side of the Brain,Three,43.02
711,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Four,28.45
712,The Martian (The Martian #1),Two,41.39
713,The High Mountains of Portugal,One,51.15
714,The Grownup,One,35.88
715,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,One,36.91
716,South of Sunshine,One,28.93
717,Smarter Faster Better: The Secrets of Being Productive in Life and Business,Five,38.89
718,Silence in the Dark (Logan Point #4),Three,58.33
719,Shadows of the Past (Logan Point #1),Five,39.67
720,Roller Girl,Five,14.1
721,Rising Strong,Three,21.82
722,Proofs of God: Classical Arguments from Tertullian to Barth,One,54.21
723,Please Kill Me: The Uncensored Oral History of Punk,Four,31.19
724,Out of Print: City Lights Spotlight No. 14,Five,53.64
725,My Life Next Door (My Life Next Door ),Five,36.39
726,Miller's Valley,Two,58.54
727,Man's Search for Meaning,Three,29.48
728,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Two,25.06
729,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Three,12.55
730,Les Fleurs du Mal,Five,29.04
731,Left Behind (Left Behind #1),Two,40.72
732,Kill 'Em and Leave: Searching for James Brown and the American Soul,Five,45.05
733,Kierkegaard: A Christian Missionary to Christians,One,47.13
734,John Vassos: Industrial Design for Modern Life,Four,20.22
735,I'll Give You the Sun,One,56.48
736,I Will Find You,One,44.21
737,Hystopia: A Novel,Four,21.96
738,Howl and Other Poems,Two,40.45
739,History of Beauty,Four,10.29
740,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Two,52.86
741,Future Shock (Future Shock #1),Five,55.65
742,Ender's Game (The Ender Quintet #1),One,43.64
743,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,One,28.41
744,Death by Leisure: A Cautionary Tale,Four,37.51
745,Brilliant Beacons: A History of the American Lighthouse,Three,11.45
746,Brazen: The Courage to Find the You That's Been Hiding,Two,19.22
747,Between the World and Me,Four,56.91
748,Being Mortal: Medicine and What Matters in the End,Four,55.06
749,"A Murder Over a Girl: Justice, Gender, Junior High",Three,13.2
750,32 Yolks,Two,53.63
751,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",Five,44.48
752,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Three,12.08
753,Wildlife of New York: A Five-Borough Coloring Book,Two,22.14
754,What Happened on Beale Street (Secrets of the South Mysteries #2),Five,25.37
755,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,Two,46.33
756,Under the Tuscan Sun,Three,37.33
757,Toddlers Are A**holes: It's Not Your Fault,One,25.55
758,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,One,34.72
759,The Whale,Four,35.96
760,The Story of Art,Four,41.14
761,The Origin of Species,Four,10.01
762,The Great Gatsby,Four,36.05
763,The Good Girl,Three,49.03
764,The Glass Castle,One,16.24
765,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,One,39.55
766,The Drowning Girls,Three,35.67
767,The Constant Princess (The Tudor Court #1),Three,16.62
768,The Bourne Identity (Jason Bourne #1),Four,42.78
769,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Five,52.3
770,The Art Book,Two,32.34
771,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Four,33.17
772,Team of Rivals: The Political Genius of Abraham Lincoln,Five,20.12
773,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Two,20.9
774,"Sit, Stay, Love",Three,20.9
775,Sister Dear,Four,40.2
776,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Three,52.87
777,"Rich Dad, Poor Dad",One,51.74
778,Raymie Nightingale,Two,34.41
779,Playing from the Heart,One,32.38
780,Nightstruck: A Novel,Four,50.35
781,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Five,11.38
782,Meternity,Three,43.58
783,Memoirs of a Geisha,Three,49.67
784,Like Never Before (Walker Family #2),Two,28.77
785,Life of Pi,Four,13.22
786,Leave This Song Behind: Teen Poetry at Its Best,Five,51.17
787,King's Folly (The Kinsman Chronicles #1),Five,39.61
788,John Adams,Four,57.43
789,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),Four,46.01
790,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Two,28.25
791,Good in Bed (Cannie Shapiro #1),Five,37.05
792,"Fruits Basket, Vol. 7 (Fruits Basket #7)",One,19.57
793,For the Love: Fighting for Grace in a World of Impossible Standards,Three,45.13
794,Finding God in the Ruins: How God Redeems Pain,Two,46.64
795,Every Heart a Doorway (Every Heart A Doorway #1),Five,12.16
796,Delivering the Truth (Quaker Midwife Mystery #1),Four,20.89
797,Counted With the Stars (Out from Egypt #1),Five,17.97
798,"Chronicles, Vol. 1",Two,52.6
799,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,One,25.77
800,Benjamin Franklin: An American Life,Three,48.19
801,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Five,29.93
802,A Summer In Europe,Two,44.34
803,A Short History of Nearly Everything,Five,52.4
804,A Gathering of Shadows (Shades of Magic #2),Four,44.81
805,The Sound Of Love,Five,57.84
806,The Rise and Fall of the Third Reich: A History of Nazi Germany,Two,39.67
807,The Perks of Being a Wallflower,Three,55.02
808,The Mysterious Affair at Styles (Hercule Poirot #1),Four,24.8
809,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Four,59.45
810,The Makings of a Fatherless Child,Two,31.58
811,The Joy of Cooking,Four,43.27
812,The Invention of Wings,One,37.34
813,The Hobbit (Middle-Earth Universe),Five,17.8
814,The Great Railway Bazaar,One,30.54
815,The Golden Compass (His Dark Materials #1),One,18.77
816,The God Delusion,Three,46.85
817,The Girl You Left Behind (The Girl You Left Behind #1),One,15.79
818,The Fellowship of the Ring (The Lord of the Rings #1),Two,10.27
819,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Five,15.42
820,The Barefoot Contessa Cookbook,Five,59.92
821,Tell the Wolves I'm Home,Two,50.96
822,Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,Three,30.6
823,Pride and Prejudice,Four,19.27
824,Musicophilia: Tales of Music and the Brain,One,46.58
825,Mere Christianity,Three,48.51
826,Me Before You (Me Before You #1),One,19.02
827,In the Woods (Dublin Murder Squad #1),Two,38.38
828,In Cold Blood,Four,49.98
829,How to Stop Worrying and Start Living,Five,46.49
830,Give It Back,Two,18.32
831,"Girl, Interrupted",Three,42.14
832,Fun Home: A Family Tragicomic,Four,56.59
833,"Fruits Basket, Vol. 6 (Fruits Basket #6)",Four,20.96
834,Deception Point,Four,40.32
835,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Three,36.39
836,Catherine the Great: Portrait of a Woman,Four,58.55
837,Better Homes and Gardens New Cook Book,Three,39.61
838,An Unquiet Mind: A Memoir of Moods and Madness,Three,21.3
839,A Year in Provence (Provence #1),Four,56.88
840,A Light in the Attic,Three,51.77
841,Tipping the Velvet,One,53.74
842,Soumission,One,50.1
843,Sharp Objects,Four,47.82
844,Sapiens: A Brief History of Humankind,Five,54.23
845,The Requiem Red,One,22.65
846,The Dirty Little Secrets of Getting Your Dream Job,Four,33.34
847,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,17.93
848,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,22.6
849,The Black Maria,One,52.15
850,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,13.99
851,Shakespeare's Sonnets,Four,20.66
852,Set Me Free,Five,17.46
853,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,52.29
854,Rip it Up and Start Again,Five,35.02
855,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,57.25
856,Olio,One,23.88
857,Mesaerion: The Best Science Fiction Stories 1800-1849,One,37.59
858,Libertarianism for Beginners,Two,51.33
859,It's Only the Himalayas,Two,45.17
860,In Her Wake,One,12.84
861,How Music Works,Two,37.32
862,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,30.52
863,Chase Me (Paris Nights #2),Five,25.27
864,Black Dust,Five,34.53
865,Birdsong: A Story in Pictures,Three,54.64
866,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,22.5
867,Aladdin and His Wonderful Lamp,Three,53.13
868,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Five,40.3
869,Wall and Piece,Four,44.18
870,The Four Agreements: A Practical Guide to Personal Freedom,Five,17.66
871,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,31.05
872,The Elephant Tree,Five,23.82
873,The Bear and the Piano,One,36.89
874,Sophie's World,Five,15.94
875,Penny Maybe,Three,33.29
876,Maude (1883-1993):She Grew Up with the country,Two,18.02
877,"In a Dark, Dark Wood",One,19.63
878,Behind Closed Doors,Four,52.22
879,You can't bury them all: Poems,Two,33.63
880,Slow States of Collapse: Poems,Three,57.31
881,Reasons to Stay Alive,Two,26.41
882,Private Paris (Private #10),Five,47.61
883,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,23.11
884,Without Borders (Wanderlove #1),Two,45.07
885,When We Collided,One,31.77
886,"We Love You, Charlie Freeman",Five,50.27
887,Untitled Collection: Sabbath Poems 2014,Four,14.27
888,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,44.18
889,Unicorn Tracks,Three,18.78
890,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,25.52
891,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,16.28
892,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,31.12
893,This One Summer,Four,19.49
894,Thirst,Five,17.27
895,The Torch Is Passed: A Harding Family Story,One,19.09
896,The Secret of Dreadwillow Carse,One,56.13
897,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,56.41
898,The Past Never Ends,Four,56.5
899,The Natural History of Us (The Fine Art of Pretending #2),Three,45.22
900,The Nameless City (The Nameless City #1),Four,38.16
901,The Murder That Never Was (Forensic Instincts #5),Three,54.11
902,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,42.96
903,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,23.89
904,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,16.77
905,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,20.59
906,The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,37.13
907,The Electric Pencil: Drawings from Inside State Hospital No. 3,One,56.06
908,The Death of Humanity: and the Case for Life,Four,58.11
909,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,49.05
910,The Art Forger,Three,40.76
911,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,19.73
912,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,32.24
913,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,41.83
914,Soul Reader,Two,39.58
915,Security,Two,39.25
916,"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,25.02
917,"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,51.04
918,Reskilling America: Learning to Labor in the Twenty-First Century,Two,19.83
919,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,50.4
920,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,13.61
921,Princess Between Worlds (Wide-Awake Princess #5),Five,13.34
922,"Pop Gun War, Volume 1: Gift",One,18.97
923,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,36.28
924,Patience,Three,10.16
925,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,15.44
926,orange: The Complete Collection 1 (orange: The Complete Collection #1),One,48.41
927,Online Marketing for Busy Authors: A Step-By-Step Guide,One,46.35
928,On a Midnight Clear,Three,14.07
929,Obsidian (Lux #1),Two,14.86
930,My Paris Kitchen: Recipes and Stories,Two,33.37
931,Masks and Shadows,Two,56.4
932,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,14.02
933,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,46.91
934,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,45.61
935,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,19.92
936,"Layered: Baking, Building, and Styling Spectacular Cakes",One,40.11
937,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,53.9
938,Join,Five,35.67
939,In the Country We Love: My Family Divided,Four,22.0
